sigla_partido,Solteiros,Casado,Divorciados,Viuvos,nao_informado
PC do B,0.4191699439377458,0.47983432348757427,0.08394695004602125,0.017048782528658688,0.0001255125094134382
PV,0.34383022170361727,0.5387252042007001,0.09883313885647609,0.018611435239206536,0.0
PL,0.3492060568102273,0.5398261061783886,0.09177320119367793,0.019194635817706224,7.368382271672254e-05
PT,0.34109652444668853,0.5549033633482006,0.08338943588880474,0.02061067631630621,2.1038458301775647e-05
PSC,0.3038998513509575,0.5950625200384738,0.08346206534728497,0.017575563263283685,1.45734355416946e-05
PMN,0.34439699792960665,0.5399197722567288,0.09543219461697723,0.020251035196687372,6.469979296066253e-05
PSTU,0.4801742919389978,0.38823529411764707,0.11764705882352941,0.013943355119825708,0.0
PRTB,0.36214338706413973,0.5220543602886626,0.09685034059486072,0.018951912052336952,0.0
PTB,0.29754690033196945,0.5867656141434416,0.09305759283563653,0.022629892688952366,3.86010962711341e-05
PSDB,0.28903128533735395,0.5982524072233835,0.08997704142822877,0.02273926601103382,2.0559915019017923e-05
PDT,0.3227005237708,0.5661971092049002,0.09096473509789005,0.020137631926409764,2.623226043388159e-05
PSB,0.3288210884229384,0.5675008683253203,0.08476683180081532,0.01891121145092591,3.656106612068808e-05
PCO,0.5655172413793104,0.3505747126436782,0.07701149425287357,0.006896551724137931,0.0
PSOL,0.46309978416071723,0.4172754441308318,0.10289722729536775,0.016727544413083183,0.0
PP,0.3039229244456737,0.5867023156471366,0.08806988429447288,0.02130487561271685,7.682969928855699e-06
PCB,0.436080740117746,0.4613120269133726,0.08284272497897392,0.019764507989907486,0.0
PATRIOTA,0.36397555255490016,0.5140714945632862,0.10415038021462583,0.017802572667187832,0.00010660223154004691
SOLIDARIEDADE,0.3756005788712012,0.5154558610709117,0.09163531114327063,0.0173082489146165,8.683068017366137e-05
PROS,0.38692718141870686,0.507101381042059,0.08898305084745763,0.016988386691776523,0.0005885122410546139
AVANTE,0.37065982347680704,0.5161164897546561,0.09662117500680431,0.01660251176173257,0.00011664528169835531
PODE,0.3670905101151291,0.5183214597048126,0.09712327531788259,0.01746475486217573,3.005981903988938e-05
PSD,0.33262141331599965,0.564831151143715,0.08470816438130023,0.01783927115898515,1.0317681410633403e-05
REDE,0.4067175269989101,0.47627068265134254,0.10323986921628851,0.013771921133458832,9.907856930545922e-05
DC,0.36686558681443593,0.5218101733447001,0.09498437055981813,0.016339869281045753,0.00014208581983518045
CIDADANIA,0.3541460937279576,0.5322348559659171,0.09336117145839799,0.020257878847727336,0.0005360720029342888
PMB,0.37565774422328985,0.5022878059940517,0.09974834134065431,0.02230610844200412,0.0
NOVO,0.3033775633293124,0.5518697225572979,0.13510253317249699,0.009650180940892641,0.0006031363088057901
MDB,0.32626391994269216,0.5590444352790501,0.09109557817960796,0.023596066598649792,2.1707512970239e-05
REPUBLICANOS,0.35293997965412005,0.543438453713123,0.08762970498474058,0.015991861648016276,2.034587995930824e-05
AGIR,0.3273871983210913,0.5068205666316894,0.15320041972717732,0.012591815320041973,0.0
UNIÃO,0.249836494440811,0.6036625245258339,0.13603662524525834,0.010464355788096796,0.0
UP,0.705,0.2,0.085,0.01,0.0
