sigla_partido,Feminino,Homem
PC do B,0.31032967952472595,0.689670320475274
PV,0.29947491248541425,0.7005250875145858
PL,0.32137199277898537,0.6786280072210146
PT,0.3048192095149934,0.6951807904850066
PSC,0.2989448832667813,0.7010551167332187
PMN,0.29040502070393376,0.7095949792960663
PSTU,0.3559912854030501,0.6440087145969499
PRTB,0.2994536993322992,0.7005463006677008
PTB,0.289498571759438,0.7105014282405621
PSDB,0.29583661720864884,0.7041633827913512
PDT,0.28997140683612704,0.7100285931638729
PSB,0.29385956894503046,0.7061404310549696
PCO,0.2793103448275862,0.7206896551724138
PSOL,0.30674082683048315,0.6932591731695169
PP,0.2946803116212603,0.7053196883787397
PCB,0.24894869638351555,0.7510513036164844
PATRIOTA,0.32414185203610263,0.6758581479638974
SOLIDARIEDADE,0.32668596237337194,0.6733140376266281
PROS,0.32164155681104833,0.6783584431889517
AVANTE,0.32579027178350634,0.6742097282164936
PODE,0.3283734631917516,0.6716265368082485
PSD,0.3155456505814013,0.6844543494185986
REDE,0.3280491429703755,0.6719508570296245
REPUBLICANOS,0.3287487283825025,0.6712512716174974
PMB,0.39750629146648364,0.6024937085335164
CIDADANIA,0.32327963208532007,0.6767203679146799
NOVO,0.32689987937273823,0.6731001206272618
MDB,0.3281416198146178,0.6718583801853821
AGIR,0.3147953830010493,0.6852046169989506
UNIÃO,0.328973185088293,0.671026814911707
DC,0.32260585393577723,0.6773941460642228
UP,0.5,0.5
